region,date,variable,value
Møre og Romsdal,2020-01-01,revroomsofar,299
Møre og Romsdal,2020-01-01,roompricesofar,814
Møre og Romsdal,2020-01-01,roomcapsofar,37
Møre og Romsdal,2020-01-01,bedcapsofar,22
Møre og Romsdal,2020-02-01,rentedrooms,44597
Møre og Romsdal,2020-02-01,roomprice,827
Møre og Romsdal,2020-02-01,roomcap,41
Møre og Romsdal,2020-02-01,bedcap,26
Møre og Romsdal,2020-02-01,revenue,36895
Møre og Romsdal,2020-02-01,revperroom,336
Møre og Romsdal,2020-02-01,revsofar,70231
Møre og Romsdal,2020-02-01,revroomsofar,318
Møre og Romsdal,2020-02-01,roompricesofar,821
Møre og Romsdal,2020-02-01,roomcapsofar,39
Møre og Romsdal,2020-02-01,bedcapsofar,24
Møre og Romsdal,2020-03-01,rentedrooms,26397
Møre og Romsdal,2020-03-01,roomprice,876
Møre og Romsdal,2020-03-01,roomcap,24
Møre og Romsdal,2020-03-01,bedcap,14
Møre og Romsdal,2020-03-01,revenue,23126
Møre og Romsdal,2020-03-01,revperroom,215
Møre og Romsdal,2020-03-01,revsofar,93358
Møre og Romsdal,2020-03-01,revroomsofar,284
Møre og Romsdal,2020-03-01,roompricesofar,834
Møre og Romsdal,2020-03-01,roomcapsofar,34
Møre og Romsdal,2020-03-01,bedcapsofar,20
Møre og Romsdal,2020-04-01,rentedrooms,13773
Møre og Romsdal,2020-04-01,roomprice,818
